title,abstract,subject,duration,url
Advanced Level Of Spoken Sanskrit,"A good foundation in Sanskrit can serve as a master key for anyone interested in accessing the extensive primary sources related to various subjects of Indian Knowledge Systems (IKS) which have been globally recognised as a vast repository of profound knowledge and wisdom and that the National Education Policy (NEP) is proposing to introduce into the education curricula in the near future.
The first part of this course titled âIntroduction to Basic Spoken Sanskritâ was offered in August 2018, which generated sufficient interest in the students, many of whom, requested for a follow up class. The second level, âIntermediate Level of Spoken Sanskritâ launched in August 2019 created a demand for the next level which led to the designing of this âAdvanced Level of Spoken Sanskritâ Course.
The objective of this course is to give students a deeper understanding and appreciation of Sanskrit as a living language by providing them with its different semantic and syntactic tools. It also aims to offer them a taste of the rich literary legacy that it enshrines so that they feel enthused enough to delve further into its treasures with a greater sense of confidence and independence.
This course will be relevant for students across various disciplines who have an intermediate knowledge of Sanskrit because it offers the scope of potentially enhancing their language acquisition skills by providing them with a linguistic framework that can facilitate the learning of several related and new languages. In addition to this, the practice of speaking Sanskrit which is famous for its precise grammatical structure could prove to be a helpful tool in systematizing the thinking process itself and improving expression which in turn could have innumerable other rippling beneficial effects.",hs,8,/noc/courses/noc22/SEM1/noc22-hs60
Advanced NMR Techniques In Solution And Solid-State,"In this course, after introducing NMR and the internal interaction parameters, I will discuss some advanced concepts and techniques, such as, relaxation phenomenon and their measurements, NOE and ROE, spin system nomenclature, quantum mechanical analysis of spectra, the polarization transfer mechanism, chemical exchange, pure shift NMR, diffusion ordered spectroscopy, spectra of many heteronuclei, two dimensional NMR and routine 2D experiments, product operator formalism, analysis of 2D spectra.  The multiple quantum techniques, the solid state NMR, magic angle spinning and cross polarization, CPMAS techniques and solid state NMR experiments will be discussed in detail.",ph,12,/noc/courses/noc22/SEM1/noc22-ph14
Advanced Probability Theory,"The course introduces the concept of probability through Kolmogorovâs Axioms. It develops the concept of probability density function, cumulative distribution function, and introduces the concept of a random variable. Different theoretical probability distributions, both discrete and continuous are introduced, and their properties are studied. Different generating functions, viz. MGF, PGF, and characteristic functions of different variables are discussed. It also introduces functions of one or two random variables, and derived random variables, such as t, chisq, F are studied in details. The concept of Order Statistics is introduced, and derivation of distribution of range, median etc. are discussed. Different limit theorems are discussed in detail.",ma,12,/noc/courses/noc22/SEM1/noc22-ma30
Advanced Soil Mechanics,"This course intends to bridge the basic soil mechanics concepts with the advanced topics related to stresses and soil strength. In the process, it will help to reinforce the understanding gained during the undergraduate learning and would help to alleviate any misconceptions related to the stress-strain response and strength behaviour of soils. Not all the concepts explained in this course are advanced, but attempts to add clarity to the knowledge gained at undergraduate level. This course is ideal for the orientation of geotechnical engineering post-graduate students and final year undergraduate students to the higher realms of geomechanical characteristics of soils.",ce,12,/noc/courses/noc22/SEM1/noc22-ce25
Advanced Textile Printing Technology,"This course would cover the fundamentals conventional printing, the complexities and
limitations. Introduce the concept of transfer printing and mainly cover the sublimation
transfer printing which is commercially being used. The next logical development in
textile printing has been the direct digital printing of textiles. The concept, the advantage,principles of ink-jet technology, complexities involved, general machinery, the inks and
requirements of pre- and post treatments.",te,8,/noc/courses/noc22/SEM1/noc22-te04
Advanced Thermodynamics,"In any chemical process, often one encounter interaction between phases where transfer of species takes place from one phase to other. That is there exist several situations of vapor-liquid, liquid-liquid, vapor-liquid-liquid, solid-liquid equilibria in chemical engineering processes. Often these situations are dealt with assumption of ideal behavior and binary systems but in reality non-ideality and multicomponent mixtures exists and accordingly one has to deal with such situations. This course offers step-by-step understanding of required thermodynamic properties to handle such equilibrium cases and explore possible ways of solving problems associated with non-ideality in VLE, LLE, VLLE and SLE for multicomponent mixtures.",ch,12,/noc/courses/noc22/SEM1/noc22-ch13
Advanced Thermodynamics And Molecular Simulations,"This course aims to impart knowledge of advanced thermodynamics concepts and molecular simulation methods. Unlike the standard undergraduate chemical engineering thermodynamics, we will follow a rather physics-based treatment of thermodynamics based on statistical mechanics concepts and molecular theories. The thermodynamics part to be covered in first half of the course would be used in the discussion of molecular simulations to be covered in the second half of the course.",ch,12,/noc/courses/noc22/SEM1/noc22-ch30
Advanced Topics In The Science And Technology Of Concrete,International experts on the science and technology of concrete will give brief lectures to highlight advanced topics based on their own research. This will introduce the student to new fields of research and give them an opportunity to learn more than what is usually covered in courses on concrete technology.,ce,4,/noc/courses/noc22/SEM1/noc22-ce18
Advanced Transition Metal Organometallic Chemistry,"The course would cover various application aspects of
organometallic compounds in industrial processes. The
course would also highlight the concepts behind these
blockbuster industrial processes that have directly impacted
our society at large over the last century. Not to mention of
the fact that nine Nobel prizes have been attributed to the
field for original discoveries over the last century, and which
too, along with their far reaching implications, would be
covered in this course.",cy,12,/noc/courses/noc22/SEM1/noc22-cy05
AI:Constraint Satisfaction,"Human beings solve problems in many different ways. Problem solving in artificial intelligence (AI) is inspired from these diverse approaches. AI problem solvers may be based on search, on memory, or on knowledge representation and reasoning. An approach to problem solving is to pose problems as constraint satisfaction problems (CSP), and employ general methods to solve them. The task of a user then is only to pose a problem as a CSP, and then call an off-the-shelf solver. CSPs are amenable to combining search based methods with reasoning. In this 2 credit course we will look at general approaches to solving finite domain CSPs, and explore how search can be combined with constraint propagation to find solutions.

This course is a companion to the course âArtificial Intelligence: Search Methods for Problem Solvingâ that was offered recently and âArtificial Intelligence: Knowledge Representation & Reasoningâ that is being offered concurrently. The lectures for both courses are available online. ",cs,8,/noc/courses/noc22/SEM1/noc22-cs06
Air Pollution And Control,"The objective of the course is to impart the knowledge and understanding of causes and effects of air pollution and their controlling mechanisms. The course will provide a deeper understanding of air pollutants, pollution inventory and modelling. The course also imparts knowledge on the impacts of air pollution on different aspects such as policy, human health and various contemporary technological innovation for betterment of air quality.",ce,12,/noc/courses/noc22/SEM1/noc22-ce22
Aircraft Design,"This course will presents the entire process of aircraft conceptual design - from requirements definition to initial sizing, configuration layout, analysis, sizing, optimization, and trade studies.",ae,12,/noc/courses/noc22/SEM1/noc22-ae01
Algebra - II,"Second part of Foundational PG level course in algebra, suitable for M.Sc and first year PhD students in Mathematics.",ma,12,/noc/courses/noc22/SEM1/noc22-ma19
Algebraic Combinatorics,"The objective of this course is to introduce the student to some powerful paradigms in modern combinatorics, namely MÃ¶bius inversion on partially ordered sets, combinatorial classes and combinatorial species, and the LindstrÃ¶m-Gessel-Viennot lemma. It will also include an introduction to the theory of symmetric functions.",ma,12,/noc/courses/noc22/SEM1/noc22-ma01
An Introduction To Artificial Intelligence,"The course introduces the variety of concepts in the field of artificial intelligence. It discusses the philosophy of AI, and how to model a new problem as an AI problem. It describes a variety of models such as search, logic, Bayes nets, and MDPs, which can be used to model a new problem. It also teaches many first algorithms to solve each formulation. The course prepares a student to take a variety of focused, advanced courses in various subfields of AI.",cs,12,/noc/courses/noc22/SEM1/noc22-cs56
An Introduction To Information Theory,"Information Theory answers two fundamental questions: what is the maximum data rate at which we can transmit over a communication link, and what is the fundamental limit of data compression. In this course we will explore answers to these two questions. We will study some practice source compression algorithms. We will also study how to compute channel capacity of simple channels.",ee,8,/noc/courses/noc22/SEM1/noc22-ee49
An Introduction To Microeconomics,"Microeconomics is the study of the allocation of scarce resources among individuals. Economic theories are based on the assumption that individuals as well as firms have well defined objectives; utility maximization for individuals and profit maximization for firms and they act systematically according to the incentives and constraints of their economic environment. It is this framework that allows the economist to gain a fundamental understanding of the human puzzle in an economic setting. This course in the fundamentals of economics covers consumer theory, producer theory as well as the market structures through which individuals and firms interact.",hs,12,/noc/courses/noc22/SEM1/noc22-hs42
An Introduction To Point-Set-Topology Part-I,"The course will start with definition of metric  spaces and topological spaces and proceeds to study topological aspects of metric spaces.  W e  prove three very important theorems on complete metric spaces and give construction of completion of metric spaces. The course then  takes up the study of topological spaces, constructing new topologies from the old. Bases and subbases,  I and II countability, separability, connected and path connectedness,  Compactness , Lindeloffness, separation axioms etc. The course ends with the celebrated results such as Urysohnâs lemma and Titzeâs extension theorem and some applications.  The content of this course is mandatory for any meaningful study of analysis and further topology. The lecture slides are backed up by full notes, a strong team of   tutors who will handle all the queries sympathetically and also by a number of online interactive session.",ma,12,/noc/courses/noc22/SEM1/noc22-ma25
An Introduction To Programming Through C++,"This course provides an introduction to problem solving and programming using the C++ programming language. The topics include:
Basic programming notions. Control flow, variables and assignments statements, conditional execution, looping, function calls including recursion. Arrays and structures. Elementary aspects of classes. Heap memory. 
Program design. How human beings solve problems manually. Strategies for translating manual strategies to computer programs. Organizing large programs into units such as functions and classes. Introduction to assertions and invariants.
Programming applications. Arithmetic on polynomials, matrices. Root finding. Sorting and searching. Design of editors and simulators, including graphical editors. Elementary animation. A rudimentary graphics system will be discussed.
Standard Library of C++. The string, vector and map classes.",cs,12,/noc/courses/noc22/SEM1/noc22-cs42
An Invitation To Topology,"Topology is the study of abstract shapes and their properties which do not change under stretching or squeezing an object without tearing. In this course, we shall investigate and formalize the abstract notion of a âspaceâ under a bare minimum set-theoretic structure, called a topology. This basic structure gives rise to a beautiful and rich source of ideas which at the same time greatly simplify and extend familiar objects in mathematics, such as limits and continuous functions. Arguably, topology (along with the theory of numbers) lies at the heart of mathematics. I invite you to explore this abstract yet foundational theory which plays a significant role in modern mathematics, and by extension, other mathematical sciences.",ma,12,/noc/courses/noc22/SEM1/noc22-ma36
Analog Circuits,This course is designed as the introductory course on Analog Circuits for undergraduate students. It covers the basic components and methodologies used for Analog Design. Most of the portion deals with OPAMP based circuits. Later in the course some BJT and MOSFET based circuits are discussed.,ee,8,/noc/courses/noc22/SEM1/noc22-ee15
Analog Electronic Circuits,"This course on Analog Electronic Circuits has been designed primarily as a core course for undergraduate students and, as a refresher course for master level students and circuit designers working in industry. It starts with basic circuit components and circuit concepts and then, gradually moves to practical building blocks of analog electronic systems. In this course, a serious attempt has been made to make a balance between theory and practice so that the discussed circuits can be constructed in an undergraduate level laboratory class and their measured performance can be easily compared with the analytically predicted performance. It helps to build confidence on theory. 
The other important feature of this course is, it covers both BJT based circuits and MOSFET based circuits parallel so that similarities and performance differences between these two classes of circuits are understandable. Moreover, the BJT based circuits discussed here can be easily constricted on bread board to verify their characteristic through measurement. On the other hand, analysis of the MOSFET based circuits provides the necessary foundation for Analog VLSI circuit/system design, a next level course in Microelectronics and VLSI Design. 
The above mentioned two features make the proposed course unique with respect to the existing NPTEL courses on this topic. Further, the content of the proposed course is well aligned to the content of Analog Electronics course (EC09) under âAICTE Model Curriculum for undergraduate degree in Electronics and Communication Engineering (Engineering & Technology) published in 2018",ee,12,/noc/courses/noc22/SEM1/noc22-ee11
Analog Ic Design,"This course will introduce students to advanced concepts in analog circuit and IC design, and their analysis. The course will primarily cover circuit noise and mismatch, their analysis, and their impact on CMOS opamp design. As prerequisites, the student is expected to have already studied basic circuit analysis, frequency response, stability and their applications to simple MOSFET circuits.",ee,12,/noc/courses/noc22/SEM1/noc22-ee37
Analysis And Design Principles Of Microwave Antennas,"The course Analysis and Design principles of Microwave Antennas covers a broad spectrum of the antenna design and analysis, starting with the basic concepts of microwave radiation to numerical computation of antenna currents, Impulse Radiating Antennas (IRAs), antenna pattern synthesis, etc. This course will not only help the undergraduate and graduate students by providing fundamental concepts of antenna theory but also help the design engineer to get familiar with different state of the art techniques of antenna analysis and design. In a nutshell, this course would lay the foundation for further exploring the vast area of microwave antenna analysis and design.",ee,8,/noc/courses/noc22/SEM1/noc22-ee63
Antennas,Will be published soon,ee,12,/noc/courses/noc22/SEM1/noc22-ee22
Applied Environmental Microbiology,"This course prepares the student to address pressing environmental challenges by developing a fundamental understanding of the microbial communities and processes in natural and built environments. It lays and builds upon the foundation of basic microbiology, microbial energetics, and diversity, to applying tools provided by microbiology ranging from traditional to state of art for addressing relevant environmental concerns. It provides an indepth exploration of the diverse role microbes and microbial communities and includes topics such as: cell structure and elements, microbial energetics and diversity, ecology and population dynamics, environmental microbial processes including biogeochemical cycling, and microbes involved in biodeterioration and bioremediation.",ce,12,/noc/courses/noc22/SEM1/noc22-ce15
Applied Ergonomics,"Ergonomics is an applied scientific discipline that is concerned with how humans interact with the system/equipment/surrounding while performing tasks and other activities. Syllabus includes Introduction, Physical, Cognitive, Occupational and biome chanics aspect. The course syllabus is designed so as to cover work physiology, Engineering aspect of product, improvement in the cognitive capabilities so and so forth. Students will be able to correlate the understanding of this subject with their day to day activities and will be aware of concepts related to increase in the human efficiency",me,12,/noc/courses/noc22/SEM1/noc22-me32
Applied Linear Algebra,"Introduce the fundamentals of vector spaces, inner products, linear transformations, and eigenspaces to electrical engineering students.",ee,12,/noc/courses/noc22/SEM1/noc22-ee02
Applied Multivariate Statistical Modeling,"Data driven decision making is the state of the art today. Engineers today gather huge data and seek meaningful knowledge out of these for interpreting the process behaviour. Scientists do experiments under controlled environment and analyse them to confirm or reject hypotheses. Managers and administrators use the results out of data analysis for day to day decision making. As the data collected and stored are multidimensional, to extract knowledge out of it requires statistical analysis in the multivariate domain. The aim of this course is therefore to build confidence in the students in analysing and interpreting multivariate data. The course will help the students by:(i) Providing guidelines to identify and describe real life problems so that relevant data can be collected,
(ii) Linking data generation process with statistical distributions, especially in the multivariate domain, 
(iii) Linking the relationship among the variables (of a process or system) with multivariate statistical models, 
(iv) Providing step by step procedure for estimating parameters of a model developed,
(v) Analysing errors along with computing overall fit of the models, 
(vi) Interpreting model results in real life problem solving, and 
(vii) Providing procedures for model validation.",ma,12,/noc/courses/noc22/SEM1/noc22-ma09
Applied Time-Series Analysis,"The course introduces the concepts and methods of time-series analysis. Specifically, the topics include (i) stationarity and ergodicity (ii) auto-, cross- and partial-correlation functions (iii) linear random processes - definitions (iv) auto-regressive, moving average, ARIMA and seasonal ARIMA models (v) spectral (Fourier) analysis and periodicity detection and (vi) parameter estimation concepts and methods. Practical implementations in R are illustrated at each stage of the course. The subject of time-series analysis is of fundamental interest to data analysts in all fields of engineering, econometrics, climatology, humanities and medicine. Only few universities across the globe include this course on this topic despite its importance. This subject is foundational to all researchers interested in modelling uncertainties, developing models from data and multivariate data analysis.",ch,12,/noc/courses/noc22/SEM1/noc22-ch19
Appreciating Hindustani Music,"Hindustani Music includes the three vibrant genres of Dhrupad, Khayal and Instrumental Music which this course explores with a focus on Khayal. The course is primarily concerned with contemporary practice while also drawing  upon historical and textual scholarship to place the music in perspective. The  course has benefitted from inputs from highly regarded musicians, musicologists  and scholars and will include live demonstration and guided listening of recorded  music.",hs,8,/noc/courses/noc22/SEM1/noc22-hs57
Approximate Methods In Quantum Chemistry,"This course will introduce students to various approximate techniques in quantum chemistry. In particular, a thorough mathematical and physical foundation will be laid for variational principle, perturbation theory, and self-consistent field method. The strengths and weaknesses of the techniques will be discussed and each technique will be illustrated by examples from chemical bonding and molecular spectroscopy. Several applications of these methods will be discussed in the assignments.",cy,8,/noc/courses/noc22/SEM1/noc22-cy07
Architectural Design Of Digital Integrated Circuits,"Digital arithmetic plays an important role in the design of general-purpose digital processors and of embedded systems for signal processing, graphics, and communications. In spite of a mature body of knowledge in digital arithmetic, each new generation of processors or digital systems creates new arithmetic design problems. Designers, researchers, and graduate students will find solid solutions to these problems in this course.
This course explains the fundamental principles of algorithms available for performing arithmetic operations on digital computers. These include basic arithmetic operations like addition, subtraction, multiplication, and division in fixed-point and floating-point number systems as well as more complex operations such as square root extraction and evaluation of exponential, logarithmic, and trigonometric functions. The algorithms described are independent of the particular technology employed for their implementation.",ee,12,/noc/courses/noc22/SEM1/noc22-ee58
Arithmetic Circuit Complexity,"In this course we will study computation by primarily algebraic models, and use, or in many cases extend, the related tools that mathematics provides. We will start with some positive examples-- fast polynomial multiplication, matrix multiplication, determinant, matching, linear/algebraic independence, etc. The related tools are FFT (fast fourier transform), tensor rank, Newton's identity, ABP (algebraic branching program), PIT (polynomial identity testing), Wronskian, Jacobian, etc. One surprising result here is that certain problems for general circuits reduce to depth-3 circuits. Furthermore, the algorithmic question of PIT is related to proving circuit lower bounds. We then move on to proofs, or attempts to prove, that certain problems are hard and impossible to express as a small circuit (i.e. hard to solve in real life too). One such problem is Permanent. We study the hardness against restricted models-- diagonal circuits, homogeneous depth-3, homogeneous depth-4, noncommutative formulas, multilinear depth-3, multilinear formulas, read-once ABP, etc. The partial derivatives, and the related spaces, of a circuit will be a key tool in these proofs. The holy grail here is the VP/VNP question. Depending on time and interest, other advanced topics could be included. One such growing area is-- GCT (geometric complexity theory) approach to the P/NP question.",cs,12,/noc/courses/noc22/SEM1/noc22-cs60
Artificial Intelligence: Knowledge Representation And Reasoning,"An intelligent agent needs to be able to solve problems in its world. The ability to create representations of the domain of interest and reason with these representations is a key to intelligence. In this course we explore a variety of representation formalisms and the associated algorithms for reasoning. We start with a simple language of propositions, and move on to first order logic, and then to representations for reasoning about action, change, situations, and about other agents in incomplete information situations. This course is a companion to the course âArtificial Intelligence: Search Methods for Problem Solvingâ that was offered recently and the lectures for which are available online. ",cs,12,/noc/courses/noc22/SEM1/noc22-cs02
Aspects Of Biochemical Engineering,"Biochemical Reaction Engineering is mostly deals with the most complicated life systems as compared to Chemical Reaction Engineering. To describe the behavior of any life system in terms of mathematical form is the basic essence of biochemical reaction engineering. The present course in true sense is an interdisciplinary subject since biologist, physicist, chemist, technologist and mathematician all join hand in hand to develop realistic models. This specialized subject comprises of transport processes, sophisticated advanced control system besides conventional biology, physics and mathematics. Production of biomolecules can be done broadly in two different ways namely, using enzymes and microbial cells. The present course is designed to cater all the above aspects of the subject. Students undergoing this course will be initially able to differentiate between conventional chemical reaction engineering and biochemical reaction engineering. They also develop the expertise to do the design of any biochemical process which will be very much useful for the industries.",bt,12,/noc/courses/noc22/SEM1/noc22-bt09
Aspen Plus® Simulation Software - A Basic Course For Beginners,"Aspen Plus is a process modeling tool used for process monitoring, optimization and conceptual design, especially by chemical process industries. This is a simple course on Aspen Plus Simulation engine that will teach one how to model the most common unit operations of a chemical plant.",ch,12,/noc/courses/noc22/SEM1/noc22-ch37
Automatic Control,"Automatic Control is the theory used in various applications, for example, manufacturing of a product, refrigeration and air conditioners, aircraft, missile, satellite launching, etc. The study of a dedicated course is required to understand the fundamental and advance concepts of automatic controls for engineers and designers. This course is of basic level. It introduces design and modelling of a control system, theory of transfer functions, poles, zeros, block diagram algebra, transient response analysis of first and second order systems, stability and Routhâs criteria, error analysis, PID control, root locus techniques, compensation techniques, introduction to the state space method and application of MATLAB in automatic control.",me,8,/noc/courses/noc22/SEM1/noc22-me12
Basic Building Blocks Of Microwave Engineering & Design Principles Of RF And Microwave Filters And Amplifiers,"The course will introduce three basic building blocks of microwave engineering viz. microwave transmission system, passive circuit components at microwave frequency and microwave active devices. The lectures would try to emphasize the need to understand the blocks in somewhat detail so that key design concepts behind a microwave network are grasped. The course would lay the foundation for further exploring the vast area of microwave engineering analysis and design. 

The course will introduce design principles of RF and microwave filters and amplifiers. The lectures would try to emphasize on the need to understand the key concepts behind a microwave filter or amplifier design so that the students themselves can design a microwave filter or an amplifier. The course would lay the foundation for further exploring the vast area of microwave engineering analysis and design.",ee,8,/noc/courses/noc22/SEM1/noc22-ee52
Basic Calculus - 1,"This course is a follow up to the calculus course taught in schools. Some of the notions done earlier will be presented in a more rigorous manner and some new notions will be introduced. The course aims at treating rigorously the notions of continuity, differentiabilty and integrability and their applications.",ma,12,/noc/courses/noc22/SEM1/noc22-ma13
Basic Construction Materials,"The course intends to provide basic information on the structure and properties of construction materials to undergraduate students. The contents of the course will focus on a fundamental understanding of the structure of common materials, the types of bonds, and mechanisms of damage and failure in materials. It will then introduce the different materials used in construction, with respect to the approached to their design and use. At the end of the course, the student should be able to link the material choice with the application in construction.",ce,12,/noc/courses/noc22/SEM1/noc22-ce40
Basic Course In Ornithology,"The course intends to introduce students to the scientific study of birds (ornithology). It covers  basics of a range of topics like bird anatomy, physiology, taxonomy, behaviour, conservation. It  is ideal for students pursuing their Bachelors and Masters degree in life sciences and for those  who want to explore ornithology as a career option. It is also useful for birdwatchers and other  enthusiasts from among the larger public who wish to deepen their understanding and  appreciation of birds.",ge,12,/noc/courses/noc22/SEM1/noc22-ge10
Basic Linear Algebra,Linear Algebr is a basic course for students intended to go for Engineering sudies and higher studies in Mathematics. We will cover the basic tools needed in these brances.,ma,8,/noc/courses/noc22/SEM1/noc22-ma04
Basic Principles And Calculations In Chemical Engineering,The Objective of the course is to introduce chemical engineering students to the basic principles and calculation techniques used in the chemical industries and to acquaint them with the fundamentals of the material and energy balances as applied to chemical engineering.The course is mainly intended for graduate chemical engineers.It will expose them to problems in material and energy balances that arise in relation to the problems involving chemical reactors.It also will introduce them to numerical methods used to solve the problems with simple software packages.The course will introduce in simple language and ample of examples so that it will encourage learners to get used to the course.,ch,12,/noc/courses/noc22/SEM1/noc22-ch02
Basic Real Analysis,"This s first course in Real Analysis. The aim of the course is to over the basic concepts like Real line, Topological concepts of real line, differentiation and integration with applications. Introduction to calculus of several variables.",ma,12,/noc/courses/noc22/SEM1/noc22-ma05
Basic Thermodynamics: Classical And Statistical Approaches,"In this course, we will now find out the reason for changes in matters (Chemical Principles II). The earlier course, Chemical Principles I, deals with the matter itself, and the understanding of it comes from quantum mechanics. However, for the change of matter, thermodynamics says the final word. The most critical quantity in thermodynamics is the entropy, and this course is all about understanding entropy and related thermodynamic potentials. Although classical thermodynamics was developed from observations and heuristic understanding, statistical thermodynamics provides a microscopic basis of it. In this course, a holistic approach covering three different approaches (classical, statistical, and postulate-based) of thermodynamics will be covered. The objective of this course is demystification the enigma of entropy.",cy,12,/noc/courses/noc22/SEM1/noc22-cy21
Basics In Inorganic Chemistry,"This course will mainly deal with basics of inorganic chemistry. This includes periodic properties of the elements, source and extraction of metals. The study of transition metals comprises major portion of inorganic chemistry. Therefore, we will discuss some common properties like crystal filed stabilization energy, magnetic properties, spectroscopic properties and uses of these properties in various fields including in biological systems.",cy,4,/noc/courses/noc22/SEM1/noc22-cy02
Basics Of Biology,"In the current MOOCs course I have put effort to discuss different aspects of biology for engineer graduate students. The course will discuss in detail about human physiology and that will help the student to understand the working principles of different process as well as mechanism of different types of diseases. It will help student to understand the general biology as well as they may be able to integrate their engineer skills to take-up and solve challenging questions related to daily life. By the end of this course, student will be able to understand: 
1. Basics of biology and different types of organisms in universe.  
2. Understanding different types of cells and their structure and functions. 
3. Molecular Cell biology and mechanism of different cellular processes.  
4. Human physiology and disease biology.",bt,12,/noc/courses/noc22/SEM1/noc22-bt17
Basics Of Fluorescence Spectroscopy,"Fluorescence refers to light emission by substance after the absorption of electromagnetic radiation. Due to its environmental sensitivity and time resolved capability, fluorescence spectroscopy is now been widely applied to chemistry, biochemistry, biophysics, material science, forensic science, medicinal science, etc. Although fluorescence spectroscopy is used in many disciplines, this particular course is intended for the individuals willing to receive an in-depth introduction to the principles of fluorescence spectroscopy and its applications to chemistry and biology.",cy,8,/noc/courses/noc22/SEM1/noc22-cy29
